,url:,text:
62,http://yaleudi.com/,Yale Undergraduate Diversified Investments
63,https://campuspress.yale.edu/business/,Yale Women In Business
64,http://www.justaddwateryale.com/,Just Add Water
65,https://www.facebook.com/pg/Red-Hot-Poker-88029680189/about/,Red Hot Poker
66,https://orgsync.com/170666/chapter,The Coven
67,http://www.yalerecord.com/the-cucumber/,The Cucumber
68,https://orgsync.com/150161/chapter,The Fifth Humour
69,https://orgsync.com/150164/chapter,The Good Show
70,https://orgsync.com/150170/chapter,The Odd Ducks
71,https://orgsync.com/150171/chapter,The Opening
72,http://www.yalepurplecrayon.com/,The Purple Crayon
73,https://www.facebook.com/pages/The-Sphincter-Troupe/164856513550834,The Sphincter Troupe
74,http://public.violaquestion.com/,The Viola Question
75,http://www.exitplayers.com/,The Yale Exit Players
76,http://spoonuniversity.com/chapter/yale,Spoon University
77,https://www.facebook.com/YaleEpicurean/,The Yale Epicurean
78,https://www.facebook.com/ypopup/,Yale Pop Up
79,http://afam.yalecollege.yale.edu/,Afro-American Cultural Center
80,http://www.yale.edu/alive/,ALIVE - A Learning and Interactive Vietnamese Experience
81,http://yaleasa.com,Arab Students Association
82,https://www.facebook.com/YaleAsempa/,Asempa!
83,http://aacc.yalecollege.yale.edu/,Asian American Cultural Center
84,http://www.yaleaasa.org/,Asian American Students Alliance
85,http://nacc.yalecollege.yale.edu/student-groups-0,Association of Native Americans At Yale
86,http://bsayale.squarespace.com/home/,Black Student Alliance at Yale
87,http://ybwc.tumblr.com/,Black Women's Coalition
88,https://www.facebook.com/bluefeatheryale,Blue Feather Drum Group
89,http://brazilclubatyale.wix.com/brazilclub,Brazil Club
90,http://yalecasa.herokuapp.com/,Chinese American Students' Association
91,https://www.facebook.com/Hapa-at-Yale-112757248780480/,HAPA
92,https://www.facebook.com/YaleKASAMA/,KASAMA: The Filipino Club
93,https://www.facebook.com/KoreanAmericanStudentsAtYale/,Korean American Students of Yale
94,http://www.yale.edu/yalecollege/cultural/lacasa/,La Casa Cultural
95,http://yalelaso.wix.com/laso,Latin American Student Organization
96,https://www.facebook.com/lostivaleclubyale/,Lo Stivale - The Yale Italian Club
97,https://www.facebook.com/masaatyale/,Malaysian and Singaporean Association
98,http://www.yale.edu/yalecollege/cultural/nacc/,Native American Cultural Center
99,http://polishsociety.sites.yale.edu/,Polish Student Society of Yale College
100,http://www.yale.edu/sas/,South Asian Society
101,http://campuspress.yale.edu/suretveritaal/,Sur et Veritaal
102,http://taiwan.sites.yale.edu/,Taiwanese American Society
